SITEID,Details,lat,lng,state
RINS,Newport Shipyard,41.4901,-71.3217,Rhode Island
RIPC,"Potters Cove, Prudence Island",41.6423,-71.3414,Rhode Island
RIRW,"Roger Williams University dock, Bristol",41.6484,-71.2609,Rhode Island
RISK,Sakonnet Point,41.4542,-71.1953,Rhode Island
RISP,"South Pier, Prudence Island",41.5882,-71.3245,Rhode Island
RITI,Tiverton,41.6246,-71.2064,Rhode Island
RITP,Taylor Point,41.51,-71.362,Rhode Island
RIWA,Warwick,41.6839,-71.3917,Rhode Island
RIWM,"Wickford Marina, Wickford",41.5754,-71.4423,Rhode Island
RIWM2,"Wickford Marina, Wickford",41.5739,-71.4619,Rhode Island
RIWP,Wilson Park,41.57825,-71.45242,Rhode Island
